Sl. No.,District,LSGs needing special attention,Containment Zones - ward
1,Kannur,Aalakkod,"5 (Sub-ward), 19"
2,Kannur,Chapparappadavu,6 (Sub-ward)
3,Kannur,Chirakkal,"1,23 (Sub-ward)"
4,Kannur,Chittaripparamba,"4, 13"
5,Kannur,Irikkoor,2
6,Kannur,Iritty (M),32
7,Kannur,Kadannappalli-Panappuzha,10 (Sub-ward)
8,Kannur,Kannur (C),"15, 20,31,38, 42, 48, 51, 52, 53 (Sub-wards)"
9,Kannur,Karumathoor,"2 (Sub-ward),10"
10,Kannur,Panoor,"3, 22, 26, 33"
11,Kannur,Kolacherri,5 (Sub-ward)
12,Kannur,Koothuparamba (M),"11, 14, 22, 25"
13,Kannur,Kottayam-Malabar,1
14,Kannur,Madai,7 (Sub-ward)
15,Kannur,Mattannur (M),"4, 6, 7, 25, 28"
16,Kannur,Mattool,9
17,Kannur,Mokeri,"5 (Sub-ward),12"
18,Kannur,Munderi,11
19,Kannur,Muzhappilangad,"2, 10"
20,Kannur,Patyam,9
21,Kannur,Pappinissery,16
22,Kannur,Payyannur (M),31
23,Kannur,Peralaserry,"6, 12 (Sub-ward)"
24,Kannur,Ramanthali,"10, 11 (Sub-ward)"
25,Kannur,Sreekandapuram (M),26 (Sub-ward)
26,Kannur,Thalasheery (M),"24, 26 (Sub-ward)"
27,Kannur,Pinarayi,"5, 9"
28,Kannur,Kottiyoor,11
29,Kannur,Karivellur-Peralam,4
30,Kannur,Cherukunnu,"1,12"
31,Kannur,Peringome-Vyakkara,"7,12"
32,Kannur,Chembilode,"13,15"
33,Kannur,Kathiroor,"4, 6, 18"
34,Kannur,Kolayad,"5, 6, 14"
35,Kannur,Maloor,"3,12"
36,Kannur,Thillankeri,10
37,Kannur,Chokli,5
38,Kannur,Ezhom,7
39,Kannur,Thaliparamba (M),34
40,Kannur,Mayyil,11
41,Kannur,Kadamboor,3
42,Kannur,Keezhallur,3
43,Kannur,Kuttiattur,13
44,Kannur,Kunnothuparamba,15
45,Kasargode,Ajanur,"4,13,18, 20"
46,Kasargode,Chemnad,"7,13"
47,Kasargode,Chengala,"6,13,16,17,20"
48,Kasargode,Cheruvathur,"3, 9"
49,Kasargode,Kanhangad (M),"29,35,37, 39, 40,43"
50,Kasargode,Karadka,"4,10,14"
51,Kasargode,Kasargod (M),14
52,Kasargode,Kodom Belur,"4, 7"
53,Kasargode,Kumbala,"3,14"
54,Kasargode,Madhur,7
55,Kasargode,Madikkai,"2,12"
56,Kasargode,Mangalpady,"12, 17, 19"
57,Kasargode,Manjeshwar,"6,9"
58,Kasargode,Mogral Puthur,"1,14"
59,Kasargode,Muliyar,14
60,Kasargode,Nileshwar (M),"19,22,32"
61,Kasargode,Padane,"6,12"
62,Kasargode,Pallikkara,"4,5,18,19"
63,Kasargode,Pullur Periya,6
64,Kasargode,Trikaripur,"1, 4"
65,Kasargode,Uduma,"5, 6,21"
66,Kasargode,Valiyaparamba,"4, 7,10,13"
67,Kasargode,Vorkardy,"6,11"
68,Kasargode,Badiadka,12
69,Kasargode,Enmakaje,4
70,Kasargode,Bedadka,3
71,Palakkad,Cheruppulasherry,27
72,Palakkad,Koppam,"4,6, 8,17"
73,Palakkad,Lakkidi Peroor,9
74,Palakkad,Parali,All Wards
75,Palakkad,Pirayiri,14
76,Palakkad,Thachampara,5
77,Palakkad,Tharoor,9
78,Palakkad,Thrikkadeeri,10
79,Palakkad,Thirumittacode,8
80,Palakkad,Chalissery,"9,14"
81,Palakkad,Elappully,7
82,Palakkad,Perumatti,17
83,Palakkad,Mannoor,2
84,Palakkad,Thiruvegappura,"17, 18"
85,Palakkad,Kongad,2
86,Palakkad,Kuzhalmannam,5
87,Palakkad,Thachanattukara,11
88,Palakkad,Nalleppilli,7
89,Palakkad,Koduvayur,13
90,Palakkad,Vaniyamkulam,6
91,Palakkad,Anakkara,3
92,Alappuzha,Punnapra South,2
93,Alappuzha,Aroor,1
94,Alappuzha,Chennithala,14
95,Alappuzha,Kayamkulam (M),All Wards
96,Alappuzha,Chengannur (M),"14,15"
97,Alappuzha,Palamel,14
98,Alappuzha,Bharanikkavu,"5, 12, 13, 14"
99,Alappuzha,Thekkekkara,All Wards
100,Alappuzha,Nooranad,15-Palamel Pattur Residential area
101,Alappuzha,Arattupuzha,All Wards
102,Alappuzha,Pattanakkad,16
103,Alappuzha,Thuravur,"1, 16, 18"
104,Alappuzha,Kuthiathode,"1, 16"
105,Alappuzha,Ezhupunna,15
106,Alappuzha,Ambalappuzha South,2
107,Alappuzha,Cheriyanad,7
108,Ernakulam,Amballoor,2
109,Ernakulam,Nayarambalam,2
110,Ernakulam,Kochi (C),"11, 27, 43, 44, 46, 56, 67 (100 m radius around Powerlite Electricals, Market Junction),Ernakulam Market Area from St Francis church convent Junction and Marine Drive to TD road"
111,Ernakulam,Kanjoor,12
112,Ernakulam,Parakkadav,8
113,Ernakulam,Chellanam,"15,16"
114,Ernakulam,Piravam (M),17
115,Ernakulam,Paingottur,5
116,Ernakulam,Paravoor (M),8
117,Ernakulam,Kodungalloor,8
118,Ernakulam,Thrikkakkara (M),28
119,Ernakulam,Aluva (M),Aluva Market
120,Kollam,Thenmala,7
121,Kollam,Punalur (M),"3, 5, 7, 33, 34"
122,Kollam,Thrikkovilvattom,"6, 7, 9"
123,Kollam,Mayyanad,9
124,Kollam,Ittiva,17
125,Kollam,Aryankavu,"4 (Aryankavu), 5 (Aryankavu Temple)"
126,Kollam,Kollam (C),53
127,Kollam,Kottarakkara (M),"2, 4, 6, 7, 8"
128,Kollam,Melila,15
129,Kollam,Thevalakkara,8
130,Kollam,Alappad,Azheekkal Harbour
131,Thiruvananthapuram,Thiruvananthapuram (C),"27, 48, 54, 55, 67, 66,68, 69, 70,  71, 72, 73, 74, 75, 76, 78, 99,  82-Athani Lane,Palayam Market, Saphalyam Complex, Residential Area of Paris Lane"
132,Thiruvananthapuram,Balaramapuram,5
133,Thiruvananthapuram,Nagaroor,5
134,Thiruvananthapuram,Ottashekharamangalam,10
135,Thiruvananthapuram,Neyyattinkara (M),17
136,Thiruvananthapuram,Parasala,"18, 16"
137,Thiruvananthapuram,Vellanadu,"12, 13"
138,Kottayam,Chirakkadavu,"4, 5"
139,Kottayam,Koruthodu,4
140,Kottayam,Thalayazham,12
141,Kottayam,Kottayam (M),"36,43"
142,Kottayam,Pallikkathodu,8
143,Kottayam,Karukachal,7
144,Malappuram,Parappanangadi (M),31
145,Malappuram,Pulpatta,7
146,Malappuram,Ponnani Taluk,Entire Taluk
147,Malappuram,Tanur (M),All Wards
148,Thrissur,Thrissur (C),"35, 39, 49, 51"
149,Thrissur,Chalakkudy(M),"16, 19, 21, 30, 31, 35, 36"
150,Thrissur,Sreenarayanapuram,"7,8"
151,Kozhikkode,Kozhikkode Â©,"44, 56, 62, 66"
152,Kozhikkode,Olavanna,9
153,Wayanad,Thirunelli,"4, 5, 9, 10, 12"
